nome_cidade_normalizado;data_previsao;temp_min;temp_max;temp_media;temp_media_fahrenheit;temp_media_kelvin;precipitacao_prob;vento_direcao;descricao_vento;descricao_tempo;classificacao_temp;fonte_dados;tipo_previsao
AVEIRO;2025-10-19;17,7;21,9;19,8;67,6;292,9;100,0;S;Moderado;Chuva/aguaceiros;Agradável;IPMA;Diária
AVEIRO;2025-10-20;16,4;21,5;18,9;66,1;292,1;60,0;SW;Fraco;Céu parcialmente nublado;Agradável;IPMA;Diária
AVEIRO;2025-10-21;17,6;21,8;19,7;67,5;292,8;100,0;SW;Moderado;Chuva/aguaceiros;Agradável;IPMA;Diária
AVEIRO;2025-10-22;18,5;22,3;20,4;68,7;293,5;100,0;SW;Moderado;Chuva fraca ou chuvisco;Agradável;IPMA;Diária
AVEIRO;2025-10-23;18,6;22,9;20,8;69,3;293,9;94,0;SW;Moderado;Chuva fraca ou chuvisco;Agradável;IPMA;Diária
BEJA;2025-10-19;16,7;29,2;22,9;73,3;296,1;0,0;W;Moderado;Céu pouco nublado;Agradável;IPMA;Diária
BEJA;2025-10-20;15,7;25,1;20,4;68,7;293,5;24,0;W;Moderado;Céu parcialmente nublado;Agradável;IPMA;Diária
BEJA;2025-10-21;15,2;25,0;20,1;68,2;293,2;59,0;W;Moderado;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
BEJA;2025-10-22;17,5;27,4;22,4;72,4;295,6;78,0;W;Moderado;Aguaceiros/chuva;Agradável;IPMA;Diária
BEJA;2025-10-23;16,4;27,5;21,9;71,5;295,1;0,0;NW;Moderado;Céu pouco nublado;Agradável;IPMA;Diária
BRAGA;2025-10-19;16,5;19,4;17,9;64,3;291,1;100,0;S;Moderado;Chuva/aguaceiros;Fresco;IPMA;Diária
BRAGA;2025-10-20;15,0;20,6;17,8;64,0;290,9;100,0;SW;Fraco;Aguaceiros/chuva;Fresco;IPMA;Diária
BRAGA;2025-10-21;15,2;19,8;17,5;63,5;290,6;100,0;SW;Fraco;Chuva/aguaceiros;Fresco;IPMA;Diária
BRAGA;2025-10-22;17,1;19,8;18,5;65,2;291,6;100,0;SW;Moderado;Chuva fraca ou chuvisco;Agradável;IPMA;Diária
BRAGA;2025-10-23;16,9;19,7;18,3;64,9;291,4;96,0;SW;Fraco;Chuva/aguaceiros;Agradável;IPMA;Diária
COIMBRA;2025-10-19;16,8;23,4;20,1;68,2;293,2;100,0;SW;Moderado;Chuva/aguaceiros;Agradável;IPMA;Diária
COIMBRA;2025-10-20;15,1;20,9;18,0;64,4;291,1;80,0;W;Fraco;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
COIMBRA;2025-10-21;16,5;19,7;18,1;64,6;291,2;100,0;SW;Moderado;Chuva/aguaceiros;Agradável;IPMA;Diária
COIMBRA;2025-10-22;17,9;22,5;20,2;68,4;293,3;100,0;SW;Fraco;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
COIMBRA;2025-10-23;16,9;22,5;19,7;67,5;292,8;80,0;SW;Fraco;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
EVORA;2025-10-19;14,8;28,1;21,5;70,6;294,6;35,0;SW;Moderado;Céu pouco nublado;Agradável;IPMA;Diária
EVORA;2025-10-20;15,8;25,0;20,4;68,7;293,5;10,0;W;Moderado;Céu parcialmente nublado;Agradável;IPMA;Diária
EVORA;2025-10-21;13,9;25,2;19,6;67,2;292,7;75,0;W;Moderado;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
EVORA;2025-10-22;17,3;26,5;21,9;71,4;295,0;60,0;W;Moderado;Céu parcialmente nublado;Agradável;IPMA;Diária
EVORA;2025-10-23;15,6;27,6;21,6;70,9;294,8;6,0;W;Fraco;Céu parcialmente nublado;Agradável;IPMA;Diária
FARO;2025-10-19;18,1;23,7;20,9;69,6;294,0;0,0;SE;Moderado;Céu pouco nublado;Agradável;IPMA;Diária
FARO;2025-10-20;17,6;24,0;20,8;69,4;293,9;2,0;W;Moderado;Céu pouco nublado;Agradável;IPMA;Diária
FARO;2025-10-21;17,0;24,2;20,6;69,1;293,8;40,0;W;Moderado;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
FARO;2025-10-22;19,1;26,0;22,6;72,6;295,7;2,0;W;Moderado;Céu parcialmente nublado;Agradável;IPMA;Diária
FARO;2025-10-23;17,3;26,5;21,9;71,4;295,0;0,0;SW;Fraco;Céu pouco nublado;Agradável;IPMA;Diária
LEIRIA;2025-10-19;16,9;24,7;20,8;69,4;293,9;100,0;SW;Fraco;Chuva/aguaceiros;Agradável;IPMA;Diária
LEIRIA;2025-10-20;16,0;21,3;18,6;65,6;291,8;71,0;W;Fraco;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
LEIRIA;2025-10-21;17,1;22,3;19,7;67,5;292,8;100,0;SW;Moderado;Chuva/aguaceiros;Agradável;IPMA;Diária
LEIRIA;2025-10-22;18,6;22,9;20,8;69,3;293,9;100,0;W;Fraco;Chuva fraca ou chuvisco;Agradável;IPMA;Diária
LEIRIA;2025-10-23;17,6;23,1;20,4;68,6;293,5;80,0;SW;Fraco;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
LISBOA;2025-10-19;18,2;23,5;20,9;69,5;294,0;96,0;SW;Moderado;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
LISBOA;2025-10-20;16,2;23,0;19,6;67,3;292,8;33,0;W;Moderado;Céu parcialmente nublado;Agradável;IPMA;Diária
LISBOA;2025-10-21;16,8;23,6;20,2;68,4;293,3;96,0;SW;Moderado;Chuva fraca ou chuvisco;Agradável;IPMA;Diária
LISBOA;2025-10-22;18,9;23,8;21,4;70,4;294,5;60,0;W;Moderado;Céu muito nublado ou encoberto;Agradável;IPMA;Diária
LISBOA;2025-10-23;17,8;23,4;20,6;69,1;293,8;45,0;W;Fraco;Céu parcialmente nublado;Agradável;IPMA;Diária
PORTO;2025-10-19;16,7;19,9;18,3;64,9;291,4;100,0;S;Moderado;Chuva/aguaceiros;Agradável;IPMA;Diária
PORTO;2025-10-20;15,3;19,3;17,3;63,1;290,4;98,0;SW;Moderado;Aguaceiros/chuva;Fresco;IPMA;Diária
PORTO;2025-10-21;16,4;19,5;17,9;64,3;291,1;100,0;SW;Moderado;Chuva/aguaceiros;Fresco;IPMA;Diária
PORTO;2025-10-22;17,8;19,7;18,8;65,8;291,9;100,0;SW;Moderado;Chuva fraca ou chuvisco;Agradável;IPMA;Diária
PORTO;2025-10-23;17,4;19,8;18,6;65,5;291,8;98,0;SW;Moderado;Chuva/aguaceiros;Agradável;IPMA;Diária
SETUBAL;2025-10-19;15,2;23,5;19,4;66,8;292,5;94,0;SW;Fraco;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
SETUBAL;2025-10-20;14,7;24,0;19,4;66,8;292,5;18,0;W;Fraco;Céu parcialmente nublado;Agradável;IPMA;Diária
SETUBAL;2025-10-21;15,0;24,3;19,6;67,4;292,8;92,0;SW;Fraco;Chuva fraca ou chuvisco;Agradável;IPMA;Diária
SETUBAL;2025-10-22;17,0;25,2;21,1;70,0;294,2;63,0;W;Fraco;Aguaceiros/chuva fraca;Agradável;IPMA;Diária
SETUBAL;2025-10-23;15,8;24,5;20,1;68,3;293,3;22,0;SW;Fraco;Céu parcialmente nublado;Agradável;IPMA;Diária
